state,city,nrows,population,start_date,end_date,date,time,type,geolocation,subgeography,subject_age,subject_race,subject_sex,reason_for_stop,warning_issued,citation_issued,arrest_made,violation,search_conducted,search_basis,frisk_performed,contraband_found,shapefiles,rds,csv_zip,has_pedestrian_stops,state_with_local_data
NE,Statewide,9031494,1893921,2002-01-01,2016-10-01,1,0,1,1,0.47719999999999996,0,1,0,0,0,0,0,0,1,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ne_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ne_statewide_2020_04_01.csv.zip,FALSE,FALSE
NH,Statewide,259822,1331848,2014-01-01,2015-12-31,1,1,1,1,1,0.5287999999999999,0.6392,0.9841,0,1,1,0,0.9410000000000001,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nh_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nh_statewide_2020_04_01.csv.zip,FALSE,FALSE
NJ,Camden,195100,75550,2013-05-01,2020-01-29,1,1,1,1,0,0.9896,0.9903,0.9993,0,0.9999,0.9999,0.9999,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nj_camden_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nj_camden_2020_04_01.csv.zip,TRUE,FALSE
NJ,Statewide,3845334,8960161,2009-01-01,2016-12-31,1,1,1,1,1,0,0.03859999999999997,0.9951,0,0.7767,0.7782,0.03259999999999996,0.7695,0.036900000000000044,0,0.035800000000000054,0.9557,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nj_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nj_statewide_2020_04_01.csv.zip,FALSE,FALSE
NV,Henderson,111089,284817,2011-06-30,2019-11-12,1,0.9984,1,1,0,0.9904,0.9742999999999999,0.9806,0,0,1,0,0.9656,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nv_henderson_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nv_henderson_2020_04_01.csv.zip,FALSE,FALSE
NV,Statewide,737282,2887725,2012-02-14,2016-05-31,1,0,1,1,0,0.9181,0.9993,0,0,1,1,1,1,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nv_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_nv_statewide_2020_04_01.csv.zip,FALSE,FALSE
NY,Albany,74093,98498,2008-01-01,2017-12-30,1,0.9961,1,1,0,0.9998,0.6775,0.9997,0,0,0,0,0.995,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ny_albany_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ny_albany_2020_04_01.csv.zip,FALSE,FALSE
NY,Statewide,7962169,19798228,2010-01-01,2017-12-14,1,1,1,1,1,0.9999,1,0.9998,0,0,0,0,1,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ny_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ny_statewide_2020_04_01.csv.zip,FALSE,FALSE
OH,Cincinnati,315281,298957,2009-01-01,2018-05-28,1,1,0.9995,1,0.24119999999999997,0,1,0.9993,0.12329999999999997,0.9993,0.9993,0.9993,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_oh_cincinnati_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_oh_cincinnati_2020_04_01.csv.zip,TRUE,FALSE
OH,Columbus,128157,852144,2012-01-01,2016-12-30,1,0.9986,1,1,0.8822,0,1,1,1,1,1,1,0,1,0,0,0,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_oh_columbus_shapefiles_2020_04_01.tgz,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_oh_columbus_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_oh_columbus_2020_04_01.csv.zip,FALSE,FALSE
